SquareFeet,NumBedrooms,NumBathrooms,Price
2966,5,3.5,672000
1845,4,3.0,417000
3035,5,4.0,673000
2129,4,3.5,497000
1901,4,3.0,441500
1341,2,2.0,274500
3491,6,4.5,785500
1465,3,2.0,301000
1990,4,2.5,468000
1416,3,2.5,335500
3908,6,5.5,929000
1472,3,3.0,316000
2194,4,3.0,485000
1648,3,2.0,383500
2498,4,2.5,546000
1109,2,2.0,222000
2871,5,3.5,682000
2863,5,4.0,684500
2848,5,4.5,662500
1961,4,2.5,420000
1715,3,2.5,361000
2616,5,4.0,582500
2434,4,2.5,557500
1465,3,2.0,297500
1459,3,3.0,329500
1612,3,2.5,340000
1810,3,2.5,401000
2852,5,4.5,659500
2575,5,4.5,611000
2029,4,3.0,479000
1658,3,3.0,373500
3082,5,3.5,698500
3260,6,5.5,755500
2709,5,4.0,608500
2392,4,3.0,541000
1557,3,3.0,366500
1994,4,3.5,445000
2626,5,4.0,611500
1220,2,1.5,264000
2254,4,3.5,499500
2365,4,3.0,547000
2732,5,4.0,651000
2734,5,4.0,642000
3199,5,4.0,726500
2870,5,3.5,637000
1623,3,3.0,372500
2557,5,4.0,598000
1380,3,2.5,331000
1733,3,2.5,382000
2088,4,3.5,490500
2417,4,3.5,562000
1454,3,3.0,343500
2435,4,2.5,564000
2416,4,3.0,543000
3195,5,4.5,718500
3065,5,3.5,692000
2274,4,2.5,514000
3075,5,3.5,714000
1991,4,2.5,461000
1232,2,1.5,234500
2485,4,3.0,548000
2380,4,2.5,518000
1588,3,2.0,365500
1327,3,2.5,287000
1263,2,2.0,264500
2772,5,4.0,636000
2746,5,4.5,618000
1106,2,2.0,240500
2666,5,4.0,599500
2602,5,4.5,595500
1458,3,2.0,296000
1773,3,2.0,378500
1366,3,2.0,283500
2441,4,3.0,561500
1546,3,2.5,332500
2801,5,4.5,639500
1262,2,1.5,289500
1446,3,2.5,321000
1110,2,2.0,246000
2550,5,4.0,608500
1143,2,1.5,245500
1629,3,2.5,355500
3372,6,5.0,790500
1233,2,1.5,235500
1616,3,2.5,336500
2835,5,4.0,659000
2034,4,3.0,476500
2534,5,3.5,605500
2583,5,4.0,620500
2149,4,3.0,501500
2160,4,2.5,494500
2458,4,3.5,536000
2912,5,3.5,669500
2307,4,2.5,533500
2527,4,2.5,582500
2929,5,3.5,664000
1833,3,3.0,424000
1679,3,2.5,351500
1489,3,3.0,310000
2101,4,3.0,469000
1838,4,3.5,407000
1829,3,3.0,411000
3169,5,4.5,710000
1776,3,2.5,414500
2517,5,4.0,604000
2130,4,2.5,465500
1924,4,3.0,423500
2474,4,3.5,583000
1280,2,2.0,274000
1419,3,2.5,303500
1356,3,3.0,309500
1453,3,3.0,339000
1570,3,3.0,334500
1786,3,3.0,406000
3136,5,4.5,708000
1824,3,3.0,402500
2345,4,2.5,529000
